Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
24000,579771,448650,51004,100741,205005,38265,58294,518092985,247862,160903,18525,535214670,136410,623734937,60788,490947176,109663,260456048,26724,219251036,124509814
24250,542847,435991,50719,97109,125632,37908,59080,523431853,258061,154063,18551,540098981,133849,631511882,65132,495956311,103498,263387681,25480,222081499,125973226
24500,532752,458264,50480,99319,121058,38248,59020,528467779,243842,160504,18520,545836318,179032,638385761,62313,501253296,106551,266357902,23390,224457592,127525366
24750,532421,457179,51972,101724,119485,42068,99051,533578689,234065,157781,18519,551518592,137823,642681268,60936,505890969,102052,268720232,23032,227378029,128286893
25000,518297,460039,50535,100346,119853,39006,62952,538181475,239801,157698,23917,556832147,130559,647772920,64351,510705284,133705,271493362,23075,229468472,130059511
25250,539305,525996,51015,100586,120886,38695,60282,542913615,249046,163391,24769,562257131,134457,653252828,60820,516058049,110672,274745814,23450,232302767,131112993
25500,523257,460212,50792,98687,124884,38009,56685,547964478,241990,163879,24881,567819395,135531,659039875,55766,520706118,100132,277286769,25963,234337472,132897067
25750,569302,460763,50645,98363,122373,38890,60838,553100921,254959,152995,24345,573320192,134816,665955329,62393,525963906,102039,279958337,20649,237340554,133999277
26000,561241,460910,50964,98037,126906,35673,57919,558068021,236138,162313,25056,579227745,131157,672932349,66571,531334523,102818,282768896,23096,240128941,135429173
26250,540693,449572,51675,98347,116933,40870,56855,562273722,246893,152544,25727,585255307,134976,679037634,64873,536126365,101743,285477515,23316,243194424,136718483
26500,546541,491391,50178,101089,124026,39779,59378,567007876,262175,158791,25518,590627440,135096,685006932,64237,541271049,100209,288232825,23435,245019005,138096938
26750,548199,473079,50385,101867,124923,40409,61567,571447010,272800,159298,25527,596092359,138787,690633527,62559,545784623,104930,290782291,22495,247655907,139429521
27000,529420,474921,50604,98284,119651,39670,60384,576347590,262827,166909,25537,600998080,131027,695202058,68270,550673183,103501,293924659,25466,250419374,140874925
27250,532859,524754,50535,146866,121275,37133,60711,580715171,256139,200327,25640,606744246,133063,700738366,60730,555526901,100413,296313805,22763,254771773,142372974
27500,571012,484398,51407,98458,124081,38906,60260,585878505,262013,164476,25129,611970700,134408,706693689,60304,560299908,107888,299033070,23174,255867462,143637733
27750,544908,480901,50475,101317,123971,39595,62874,590065095,251230,155942,25266,617275662,139491,712952460,63807,565685494,107240,302040306,22619,258417224,144966729
28000,547666,471968,50437,100572,125126,38083,59626,595193499,258815,158982,25979,622990572,137503,720195302,63677,570544730,105923,304371596,22601,261367986,146265946
28250,553754,472760,51051,96746,124636,36286,56587,600128291,256506,160952,24910,628445974,137272,726578289,57337,575619943,104720,307401560,22696,264127284,147443074
28500,561286,466141,51989,101186,128552,42732,59446,605016820,263542,153652,24836,633483433,137252,732636653,61185,580989465,101169,310117810,21543,265914699,148886463
28750,536592,473638,52284,99378,117637,80545,54429,609794553,266429,156424,24082,639436842,135875,738605101,64214,585398151,104400,312523227,23641,268714958,150158584
29000,553165,501106,52063,98480,123942,37809,55596,615079841,257514,166551,24807,644575234,134290,744185746,58053,589888495,104997,317179524,24752,271502969,151677062
29250,605897,468783,50703,96759,120950,38903,60062,619582063,267211,170646,24102,649570560,129603,749653239,61260,594702772,102968,318599201,22692,273903016,152459521
29500,549253,493158,52086,96528,125144,39565,61449,624106487,261856,165071,24510,655405491,132763,755910047,62603,600459246,100889,320515225,21834,276758382,154079427
29750,549660,489826,53423,100102,125712,38752,55628,628613640,331878,164141,24497,660548284,133409,762367333,61526,605337551,107270,323782248,26155,279494129,155396628
30000,552492,507334,53594,98631,116172,37292,61001,633668498,274708,156544,24834,666115448,132259,769556095,60957,610555327,98559,326434344,23364,281863011,156375592
30250,554113,496939,55254,95592,178047,36597,53419,637693728,265493,153828,25387,671850006,132036,775900066,62306,616284612,102353,329157520,22863,284396309,158116967
30500,558457,505345,53153,98537,128737,39051,59247,642875322,261231,167284,26267,677180864,169638,782125201,62412,621130327,104420,331957582,22912,287450276,159483158
30750,614240,478854,53312,98281,122249,38834,60970,647278956,251243,167625,25066,682320781,132963,787499231,62674,626156323,101246,334371379,23031,289726349,160480340
31000,548889,542138,56568,96937,123752,42043,56186,651633398,260190,157492,25048,687703949,131508,792325115,59615,631091435,104407,337498557,23175,292417123,161860440
31250,558928,489501,56803,96720,121561,43477,57762,656236127,275672,166965,24016,693610446,128307,797512266,60146,636050341,100106,339821387,23954,294921136,163715155
31500,550778,475597,57630,97186,121635,41341,61415,661549314,259947,164161,24873,698785466,127582,802980723,59915,640877014,98136,343035422,23900,297711548,164435704
31750,542934,493277,55890,97491,117649,39438,58106,665526926,266387,168234,24953,704642227,128757,808335749,63077,646528089,104662,345297498,23526,300350807,166093745
32000,553991,510697,55822,97393,125685,38337,54905,670375523,257428,203813,24855,709152492,130864,815731028,62454,652375770,99697,347961334,23680,302389544,167075565
32250,563117,514069,56262,96723,126196,39008,53061,675380962,277602,158329,25221,714460545,130029,821735956,59678,657411472,102596,351818346,23821,305011386,168299455
32500,549663,509289,56640,94077,119508,40834,57979,679350464,257509,169571,25106,720525804,131553,829013875,63441,662113898,112493,353578505,25488,307775848,169768571
32750,567677,558974,56255,93543,122728,39309,58606,683971963,255999,151967,24592,726047734,122117,834694588,61531,667241787,104085,356593514,23109,310490248,171157881
33000,570988,505731,57567,96344,123821,37417,59525,688121731,309809,161373,25870,731277116,129549,839774103,62729,671502199,3741208,359293503,23985,313457973,172259461
33250,560776,511700,56054,98735,120546,40548,56046,692245059,265574,159893,24557,736988033,129778,844252613,61283,676181009,129182,361771193,22252,315676538,174028092
33500,560577,514253,55584,94887,128244,39353,59119,697066024,276875,164745,23935,742525239,135034,848607585,63221,681587380,103809,364279379,23016,318469942,175127277
33750,563365,507202,56007,92771,127608,37696,56013,701924973,263727,174002,24314,748363668,126241,855152163,59415,686166242,104831,367107950,21692,321279539,176427158
34000,621232,515088,56065,94867,121576,41139,53000,706289922,271346,159194,24065,754054351,128146,862049751,60636,690985885,103410,369799796,23781,323429547,177658206
34250,582158,515647,57153,96501,124940,37063,55030,711469972,273804,160344,24496,759374780,126113,868614795,59660,696668882,105140,372383193,23854,326230915,178800800
